LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-08,98.85207,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-09,98.89407,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-10,98.95501,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-11,98.9639,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-12,98.92216,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-01,98.98804,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-02,99.10152,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-03,99.20464,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-04,99.30117,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-05,99.44673,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-06,99.55112,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-07,99.60826,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-08,99.57903,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-09,99.50033,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-10,99.43489,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-11,99.47076,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2013-12,99.55918,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.6019,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-02,99.62476,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-03,99.68131,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-04,99.76951,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-05,99.81279,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-06,99.82545,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-07,99.80925,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-08,99.80523,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-09,99.82639,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-10,99.87649,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-11,99.96913,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2014-12,100.1286,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-01,100.2896,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-02,100.3747,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.3972,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.3869,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.3318,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.2939,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.2061,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-08,100.1277,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-09,100.0975,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-10,100.2041,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-11,100.3473,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2015-12,100.3948,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-01,100.3262,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-02,100.2092,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-03,100.1411,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-04,100.1444,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-05,100.2078,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-06,100.2176,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-07,100.1716,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-08,100.1736,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-09,100.2033,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-10,100.225,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-11,100.2851,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2016-12,100.346,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.3597,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.3796,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.4496,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.532,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.5908,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-06,100.6105,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-07,100.6405,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.6966,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.7552,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.8305,
