Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %
Jan. 2016,3.045,09,3.266,01,3.266,01,2.855,44,1,35B,-6,81%
Dez. 2015,3.267,52,3.509,90,3.520,03,3.137,28,1,01B,-6,81%
Nov. 2015,3.506,45,3.404,38,3.524,04,3.326,20,922,70M,2,58%
Okt. 2015,3.418,23,3.113,01,3.450,61,3.036,17,1,05B,10,24%
Sep. 2015,3.100,67,3.238,95,3.326,86,2.987,47,1,27B,-5,17%
Aug. 2015,3.269,63,3.599,21,3.686,57,2.973,16,1,16B,-9,19%
Jul. 2015,3.600,69,3.444,20,3.714,26,3.291,39,1,23B,5,15%
Jun. 2015,3.424,30,3.582,08,3.651,31,3.374,18,1,37B,-4,10%
Mai 2015,3.570,78,3.615,59,3.691,42,3.484,07,1,23B,-1,24%
Apr. 2015,3.615,59,3.688,18,3.836,28,3.577,69,1,18B,-2,21%
März 2015,3.697,38,3.594,25,3.742,42,3.533,40,1,32B,2,73%
Feb. 2015,3.599,00,3.356,13,3.599,00,3.321,59,1,26B,7,39%
Jan. 2015,3.351,44,3.169,75,3.417,46,2.998,53,1,64B,6,52%
Dez. 2014,3.146,43,3.228,68,3.278,63,2.921,73,1,40B,-3,21%
Nov. 2014,3.250,93,3.107,80,3.250,93,3.026,41,1,30B,4,42%
Okt. 2014,3.113,32,3.217,81,3.236,58,2.789,63,1,75B,-3,49%
Sep. 2014,3.225,93,3.175,56,3.301,15,3.158,27,1,14B,1,68%
Aug. 2014,3.172,63,3.118,83,3.202,85,2.977,52,986,91M,1,83%
Jul. 2014,3.115,51,3.234,74,3.289,82,3.109,26,1,12B,-3,49%
Jun. 2014,3.228,24,3.247,54,3.325,50,3.211,50,1,16B,-0,50%
Mai 2014,3.244,60,3.198,97,3.250,34,3.129,08,1,23B,1,44%
Apr. 2014,3.198,39,3.169,49,3.239,14,3.083,43,1,15B,1,16%
März 2014,3.161,60,3.124,81,3.185,68,2.971,47,1,32B,0,39%
Feb. 2014,3.149,23,3.012,25,3.162,95,2.944,13,1,01B,4,49%
Jan. 2014,3.013,96,3.116,34,3.176,99,2.963,23,1,29B,-3,06%
Dez. 2013,3.109,00,3.089,39,3.116,23,2.916,70,897,23M,0,72%
Nov. 2013,3.086,64,3.068,73,3.106,64,2.999,25,996,36M,0,61%
Okt. 2013,3.067,95,2.893,66,3.073,88,2.891,39,1,37B,6,04%
Sep. 2013,2.893,15,2.741,08,2.955,47,2.725,56,1,24B,6,31%
Aug. 2013,2.721,37,2.774,12,2.855,89,2.720,57,1,10B,-1,69%
Jul. 2013,2.768,15,2.619,36,2.773,60,2.539,15,1,17B,6,36%
Jun. 2013,2.602,59,2.757,65,2.788,22,2.494,54,1,33B,-6,03%
Mai 2013,2.769,64,2.712,01,2.851,48,2.688,59,1,43B,2,13%
Apr. 2013,2.712,00,2.622,24,2.735,53,2.542,10,1,43B,3,35%
März 2013,2.624,02,2.627,93,2.746,02,2.589,84,1,44B,-0,36%
Feb. 2013,2.633,55,2.706,22,2.718,56,2.563,64,1,37B,-2,57%
Jan. 2013,2.702,98,2.659,79,2.754,80,2.659,79,1,46B,2,54%
Dez. 2012,2.635,93,2.580,90,2.668,23,2.567,15,1,15B,2,36%
Nov. 2012,2.575,25,2.500,31,2.592,43,2.427,32,1,14B,2,86%
Okt. 2012,2.503,64,2.451,29,2.579,81,2.440,58,1,40B,2,01%
Sep. 2012,2.454,26,2.435,35,2.604,77,2.420,46,1,47B,0,56%
Aug. 2012,2.440,71,2.326,34,2.494,06,2.261,77,1,36B,4,94%
Jul. 2012,2.325,72,2.266,41,2.354,75,2.142,46,1,71B,2,69%
Jun. 2012,2.264,72,2.120,90,2.264,72,2.050,16,2,11B,6,88%
Mai 2012,2.118,94,2.306,48,2.344,95,2.097,76,1,99B,-8,13%
Apr. 2012,2.306,43,2.481,02,2.509,93,2.238,45,1,77B,-6,90%
März 2012,2.477,28,2.509,15,2.611,42,2.437,60,1,69B,-1,39%
Feb. 2012,2.512,11,2.425,83,2.557,86,2.425,83,1,57B,3,95%
Jan. 2012,2.416,66,2.315,75,2.467,62,2.279,73,1,78B,4,32%
Dez. 2011,2.316,55,2.328,62,2.402,39,2.182,76,1,67B,-0,60%
Nov. 2011,2.330,43,2.352,76,2.373,00,2.065,75,2,35B,-2,30%
Okt. 2011,2.385,22,2.146,70,2.506,22,2.054,98,2,35B,9,43%
Sep. 2011,2.179,66,2.309,64,2.326,78,1.935,89,2,78B,-5,32%
Aug. 2011,2.302,08,2.691,93,2.709,04,2.077,06,3,24B,-13,79%
Jul. 2011,2.670,37,2.848,90,2.887,30,2.608,04,2,82B,-6,25%
